runway_id,ident,runway_length,runway_surface
390,KCLM,6347.0,asphalt
391,KCLT,10000.0,grooved concrete
392,KCMD,5500.0,asphalt
393,KCMH,8000.0,asphalt
394,KCMH,10125.0,asphalt
395,KCMR,5992.0,asphalt
396,KCMX,5196.0,asphalt
397,KCMX,6501.0,asphalt
398,KCNM,5333.0,asphalt
399,KCNM,5839.0,asphalt
400,KCNM,7854.0,asphalt
401,KCNO,6023.0,asphalt
402,KCNO,7000.0,asphalt
403,KCNW,8600.0,asphalt
404,KCNY,7100.0,asphalt
405,KCOD,8268.0,asphalt
406,KCOE,5400.0,asphalt
407,KCOE,7400.0,asphalt
408,KCON,6005.0,asphalt
409,KCOS,8269.0,asphalt
410,KCOS,11022.0,asphalt
411,KCOT,5005.0,asphalt
412,KCOU,5500.0,grooved concrete
413,KCPC,5500.0,asphalt
414,KCPK,5500.0,asphalt
415,KCPR,6484.0,asphalt
416,KCPR,7696.0,asphalt
417,KCPR,8679.0,asphalt
418,KCPR,10164.0,asphalt
419,KCPS,6997.0,asphalt
420,KCPT,5700.0,asphalt
421,KCQW,5000.0,asphalt
422,KCRE,5996.0,asphalt
423,KCRP,6080.0,asphalt
424,KCRP,7508.0,asphalt
425,KCRT,5009.0,asphalt
426,KCRW,6715.0,asphalt
427,KCRX,6500.0,asphalt
428,KCSG,6997.0,asphalt
429,KCSV,5418.0,asphalt
430,KCTB,5299.0,asphalt
431,KCTB,5300.0,asphalt
432,KCTJ,5652.0,asphalt
433,KCTY,5001.0,asphalt
434,KCTY,5005.0,asphalt
435,KCUB,5002.0,asphalt
436,KCUT,5500.0,asphalt
437,KCVB,5001.0,asphalt
438,KCVH,6350.0,asphalt
439,KCVK,5156.0,asphalt
440,KCVN,5697.0,asphalt
441,KCVN,6200.0,asphalt
442,KCVO,5900.0,asphalt
443,KCWI,5204.0,asphalt
444,KCWV,5002.0,asphalt
445,KCXO,6000.0,asphalt
446,KCXP,5906.0,asphalt
447,KCXW,5500.0,grooved concrete
448,KCXY,5001.0,asphalt
449,KCYS,6691.0,asphalt
450,KCZL,6000.0,asphalt
451,KD68,8417.0,asphalt
452,KDAA,5618.0,asphalt
453,KDAB,6001.0,asphalt
454,KDAB,10500.0,asphalt
455,KDAG,5119.0,asphalt
456,KDAG,6400.0,asphalt
457,KDAL,6147.0,asphalt
458,KDAN,6500.0,asphalt
459,KDBN,5004.0,asphalt
460,KDBN,6002.0,asphalt
461,KDCM,5000.0,asphalt
462,KDCU,6107.0,asphalt
463,KDDC,6899.0,asphalt
464,KDEC,5299.0,asphalt
465,KDED,5999.0,asphalt
466,KDED,6001.0,asphalt
467,KDEQ,5000.0,asphalt
468,KDET,5090.0,asphalt
469,KDEW,6100.0,asphalt
470,KDGW,6532.0,asphalt
471,KDHN,5000.0,asphalt
472,KDHN,8498.0,asphalt
473,KDHT,5669.0,asphalt
474,KDHT,6400.0,asphalt
475,KDIJ,7302.0,asphalt
476,KDIK,6400.0,asphalt
477,KDKB,7227.0,asphalt
478,KDKK,5000.0,asphalt
479,KDLH,5699.0,asphalt
480,KDLN,6500.0,asphalt
481,KDLO,5650.0,asphalt
482,KDLS,5097.0,asphalt
483,KDLZ,5000.0,asphalt
484,KDMN,5675.0,asphalt
485,KDMN,6627.0,asphalt
486,KDMW,5100.0,asphalt
487,KDNN,5498.0,asphalt
488,KDNV,6002.0,asphalt
489,KDPG,7000.0,asphalt
490,KDPG,13125.0,asphalt
491,KDPL,6002.0,asphalt
492,KDQH,6005.0,asphalt
493,KDRO,9201.0,asphalt
494,KDRT,6300.0,asphalt
495,KDSM,9001.0,asphalt
496,KDSM,9003.0,asphalt
497,KDTA,5500.0,asphalt
498,KDTA,5935.0,asphalt
499,KDTN,5018.0,asphalt
500,KDTO,5003.0,asphalt
501,KDTO,7002.0,asphalt
502,KDUA,6800.0,asphalt
503,KDUG,5000.0,asphalt
504,KDUG,7158.0,asphalt
505,KDUG,7311.0,asphalt
506,KDUG,7503.0,asphalt
507,KDUH,5013.0,asphalt
508,KDUJ,5504.0,asphalt
509,KDUX,5474.0,asphalt
510,KDVK,5000.0,asphalt
511,KDVL,5509.0,asphalt
512,KDVT,8208.0,asphalt
513,KDWA,6000.0,asphalt
514,KDWH,7009.0,asphalt
515,KDWU,5602.0,asphalt
516,KDYA,5000.0,asphalt
517,KDYR,5698.0,asphalt
518,KE06,6000.0,asphalt
519,KE11,5816.0,asphalt
520,KE14,5000.0,asphalt
521,KE24,6288.0,asphalt
522,KE25,5050.0,asphalt
523,KE38,5018.0,asphalt
524,KE38,6003.0,asphalt
525,KE42,5002.0,asphalt
526,KE63,5200.0,asphalt
527,KE80,5280.0,asphalt
528,KE80,6601.0,asphalt
529,KE91,6900.0,asphalt
530,KEAN,5900.0,asphalt
531,KEAR,7094.0,asphalt
532,KEAT,7000.0,asphalt
533,KEBG,5000.0,asphalt
534,KEDE,6000.0,asphalt
535,KEDJ,5000.0,asphalt
536,KEDN,5100.0,asphalt
537,KEED,5005.0,asphalt
538,KEEN,6201.0,asphalt
539,KEEO,6500.0,asphalt
540,KEET,5000.0,asphalt
541,KEFK,5300.0,asphalt
542,KEFT,5000.0,asphalt
543,KEGE,5013.0,asphalt
544,KEGE,9000.0,asphalt
545,KEGV,5000.0,asphalt
546,KEHO,5002.0,asphalt
547,KEHR,5504.0,asphalt
548,KEKM,6500.0,asphalt
549,KEKO,7214.0,asphalt
550,KEKS,6600.0,asphalt
551,KEKX,6001.0,asphalt
552,KEKY,6007.0,asphalt
553,KELD,6600.0,asphalt
554,KELM,5404.0,asphalt
555,KELM,7000.0,asphalt
556,KELN,5590.0,asphalt
557,KELO,5600.0,asphalt
558,KELP,5493.0,asphalt
559,KELP,9025.0,asphalt
560,KELP,12020.0,asphalt
561,KELY,6018.0,asphalt
562,KELZ,5302.0,asphalt
563,KEMM,8200.0,asphalt
564,KEMV,5044.0,asphalt
565,KENL,5001.0,asphalt
566,KENV,8000.0,asphalt
567,KENV,8001.0,asphalt
568,KENW,5499.0,grooved concrete
569,KEOS,5001.0,asphalt
570,KEPH,5500.0,asphalt
571,KEPH,6630.0,asphalt
572,KEQY,5500.0,asphalt
573,KERI,8420.0,asphalt
574,KERV,6000.0,asphalt
575,KESC,5000.0,asphalt
576,KESC,6501.0,asphalt
577,KESF,5601.0,asphalt
578,KESF,5999.0,asphalt
579,KESN,5500.0,asphalt
580,KEUF,5000.0,asphalt
581,KEUG,5228.0,asphalt
582,KEUG,6000.0,asphalt
583,KEUG,8009.0,asphalt
584,KEUL,5500.0,asphalt
585,KEVB,5000.0,asphalt
