ident,iata_code,icao_code,local_code,name,type,latitude_deg,longitude_deg,elevation_ft,country_name,region_name,runway_lengths_ft,runway_surfaces,airtanker_base,index__gacc,gacc
K4SD,,,RTS,Reno-Stead Airport,small_airport,39.6674,-119.875999,5050.0,United States,Nevada,"7608,9000","asphalt,asphalt",False,118,Great Basin Coordination Center
K4V0,,,4V0,Rangely Airport,small_airport,40.094002,-108.763,5275.0,United States,Colorado,6408,asphalt,False,119,Rocky Mountain Area Coordination Center
K55J,,,FHB,Fernandina Beach Municipal Airport,small_airport,30.611799,-81.461197,16.0,United States,Florida,"5152,5300","asphalt,asphalt",False,100,Southern Area Coordination Center
K5M9,,,GDA,Marion-Crittenden County James C Johnson Regional Airport,small_airport,37.336265,-88.109751,650.0,United States,Kentucky,5001,asphalt,False,100,Southern Area Coordination Center
K5R8,,,5R8,De Quincy Industrial Airpark,small_airport,30.441200256347656,-93.47350311279295,81.0,United States,Louisiana,5000,asphalt,False,100,Southern Area Coordination Center
K5T6,,,DNA,Doña Ana County International Jetport,small_airport,31.881001,-106.705002,4112.0,United States,New Mexico,8500,asphalt,False,97,Southwest Area Coordination Center
K5T9,EGP,,5T9,Maverick County Memorial International Airport,small_airport,28.859766,-100.516682,887.0,United States,Texas,5506,asphalt,False,100,Southern Area Coordination Center
K5W8,,,SCR,Siler City Municipal Airport,small_airport,35.7043,-79.504204,614.0,United States,North Carolina,5001,asphalt,False,100,Southern Area Coordination Center
K62S,,,62S,Christmas Valley Airport,small_airport,43.23623,-120.665059,4317.0,United States,Oregon,5200,asphalt,False,90,Northwest Interagency Coordination Center
K67L,MFH,,67L,Mesquite International Airport,medium_airport,36.833105,-114.055928,1978.0,United States,Nevada,5100,asphalt,False,118,Great Basin Coordination Center
K6I2,,,6I2,Lebanon Springfield Airport - George Hoerter Field,small_airport,37.633499,-85.241798,866.0,United States,Kentucky,5000,asphalt,False,100,Southern Area Coordination Center
K6S0,,,6S0,Big Timber Airport,small_airport,45.806681,-109.979153,4492.0,United States,Montana,5285,asphalt,False,89,Northern Rockies Coordination Center
K6S8,,,6S8,Laurel Municipal Airport,small_airport,45.703098,-108.761002,3517.0,United States,Montana,5200,asphalt,False,89,Northern Rockies Coordination Center
K74V,ROL,,74V,Roosevelt Municipal Airport,small_airport,40.278301,-110.051003,5172.0,United States,Utah,6500,asphalt,False,118,Great Basin Coordination Center
K79J,,,79J,South Alabama Regional At Bill Benton Field Airport,medium_airport,31.3088,-86.393799,310.0,United States,Alabama,5001,asphalt,False,100,Southern Area Coordination Center
K7K4,,,JQD,Ohio County Airport,small_airport,37.458302,-86.849998,535.0,United States,Kentucky,5000,asphalt,False,100,Southern Area Coordination Center
K7S1,,,RVF,Ruby Valley Field,small_airport,45.533702,-112.300283,4777.0,United States,Montana,6000,asphalt,False,89,Northern Rockies Coordination Center
K7S6,,,7S6,White Sulphur Springs Airport,small_airport,46.50410079956055,-110.91300201416016,5061.0,United States,Montana,6100,asphalt,False,89,Northern Rockies Coordination Center
K82V,,,82V,Pine Bluffs Municipal Airport,small_airport,41.153301239,-104.129997253,5152.0,United States,Wyoming,5336,asphalt,False,119,Rocky Mountain Area Coordination Center
K87I,,,87I,Yazoo County Airport,small_airport,32.883202,-90.4636,104.0,United States,Mississippi,5000,asphalt,False,100,Southern Area Coordination Center
K8A1,,,8A1,Guntersville Municipal Joe Starnes Field,small_airport,34.403035,-86.263615,615.0,United States,Alabama,5005,grooved concrete,False,100,Southern Area Coordination Center
K9A5,,,9A5,Barwick Lafayette Airport,small_airport,34.688599,-85.290398,777.0,United States,Georgia,5412,asphalt,False,100,Southern Area Coordination Center
K9S5,,,9S5,Three Forks Airport,small_airport,45.878101,-111.569,4089.0,United States,Montana,5100,asphalt,False,89,Northern Rockies Coordination Center
K9U3,ASQ,,TMT,Austin Airport,small_airport,39.467708,-117.197576,5730.0,United States,Nevada,"6000,6000","asphalt,asphalt",False,118,Great Basin Coordination Center
K9U4,,,DWX,Dixon Airport,small_airport,41.038299560547,-107.49700164795,6520.0,United States,Wyoming,5500,asphalt,False,119,Rocky Mountain Area Coordination Center
KA08,,,A08,Vaiden Field,small_airport,32.512402,-87.385597,225.0,United States,Alabama,6377,asphalt,False,100,Southern Area Coordination Center
KAAS,,,AAS,Taylor County Airport,small_airport,37.358254,-85.309434,921.0,United States,Kentucky,5003,asphalt,False,100,Southern Area Coordination Center
KABE,ABE,KABE,ABE,Lehigh Valley International Airport,medium_airport,40.651773,-75.442797,393.0,United States,Pennsylvania,"5797,7600","asphalt,asphalt",False,51,Eastern Area Coordination Center
KABI,ABI,KABI,ABI,Abilene Regional Airport,medium_airport,32.4113006592,-99.6819000244,1791.0,United States,Texas,"7198,7202","asphalt,asphalt",True,100,Southern Area Coordination Center
KABQ,ABQ,KABQ,ABQ,Albuquerque International Sunport,large_airport,35.039976,-106.608925,5355.0,United States,New Mexico,"6000,10000,10000,13793","grooved concrete,grooved concrete,asphalt,grooved concrete",False,97,Southwest Area Coordination Center
KABR,ABR,KABR,ABR,Aberdeen Regional Airport,medium_airport,45.449100494384766,-98.42179870605467,1302.0,United States,South Dakota,5500,asphalt,False,119,Rocky Mountain Area Coordination Center
KABY,ABY,KABY,ABY,Southwest Georgia Regional Airport,medium_airport,31.532946,-84.196215,197.0,United States,Georgia,"5200,6601","asphalt,asphalt",False,100,Southern Area Coordination Center
KACB,ACB,KACB,ACB,Antrim County Airport,small_airport,44.988602,-85.198402,623.0,United States,Michigan,5000,asphalt,False,51,Eastern Area Coordination Center
KACJ,,,ACJ,Jimmy Carter Regional Airport,small_airport,32.110802,-84.188904,468.0,United States,Georgia,6021,asphalt,False,100,Southern Area Coordination Center
KACK,ACK,KACK,ACK,Nantucket Memorial Airport,medium_airport,41.25310135,-70.06020355,47.0,United States,Massachusetts,6303,asphalt,False,51,Eastern Area Coordination Center
KACT,ACT,KACT,ACT,Waco Regional Airport,medium_airport,31.611299514770508,-97.23049926757812,516.0,United States,Texas,"5896,6596","asphalt,asphalt",False,100,Southern Area Coordination Center
KACV,ACV,KACV,ACV,California Redwood Coast-Humboldt County Airport,medium_airport,40.978101,-124.109,221.0,United States,California,6000,asphalt,False,87,Northern California Geographic Area Coordination Center
KACY,ACY,KACY,ACY,Atlantic City International Airport,medium_airport,39.45759963989258,-74.57720184326172,75.0,United States,New Jersey,10000,asphalt,False,51,Eastern Area Coordination Center
KADG,ADG,KADG,ADG,Lenawee County Airport,small_airport,41.866205,-84.077983,798.0,United States,Michigan,5001,asphalt,False,51,Eastern Area Coordination Center
KADH,ADT,KADH,ADH,Ada Regional Airport,medium_airport,34.805214,-96.671988,1016.0,United States,Oklahoma,6203,asphalt,False,100,Southern Area Coordination Center
KADM,ADM,KADM,ADM,Ardmore Municipal Airport,small_airport,34.30301,-97.0196342,777.0,United States,Oklahoma,5350,asphalt,False,100,Southern Area Coordination Center
KADS,ADS,KADS,ADS,Addison Airport,small_airport,32.9686012268,-96.8364028931,644.0,United States,Texas,7202,asphalt,False,100,Southern Area Coordination Center
KADT,,,ADT,Atwood-Rawlins City-County Airport,small_airport,39.841209,-101.043248,2991.0,United States,Kansas,5001,asphalt,False,119,Rocky Mountain Area Coordination Center
KAEG,,,AEG,Double Eagle II Airport,small_airport,35.145198822021484,-106.79499816894533,5837.0,United States,New Mexico,"5999,7400","asphalt,asphalt",False,97,Southwest Area Coordination Center
KAEJ,,,AEJ,Central Colorado Regional Airport,small_airport,38.812906,-106.120062,7946.0,United States,Colorado,8300,asphalt,False,119,Rocky Mountain Area Coordination Center
KAEX,AEX,KAEX,AEX,Alexandria International Airport,medium_airport,31.3274,-92.549797,89.0,United States,Louisiana,7001,asphalt,False,100,Southern Area Coordination Center
